"Outcome","Term","OR","Lower","Upper"
"obese_bmi","(Intercept)",0.591879252056116,0.496519832397863,0.705062694549722
"obese_bmi","raceBlack",1.31482437121923,1.16121314098148,1.48872335882411
"obese_bmi","raceAsian",0.301514734375327,0.230406912656213,0.389607442428319
"obese_bmi","raceHispanic",1.20124170706542,1.05291974207202,1.37021899248092
"obese_bmi","sexFemale",1.59680933741604,1.44133492489908,1.76926799895237
"obese_bmi","age40_59",1.15983277022332,1.02058831226615,1.31830898333887
"obese_bmi","age60+",0.91304678058346,0.800410801287013,1.04153749020693
"obese_bmi","smokeSmoker",0.625524172355647,0.560360814728485,0.697999752326005
"obese_bmi","eduHighSchool",1.10892442715297,0.964692485945827,1.27488078078239
"obese_bmi","eduSomeCollege",1.1835460416567,1.03223215010337,1.35732560856672
"obese_bmi","eduCollegePlus",0.807215165955658,0.673012882632395,0.967359494488598
"obese_bmi","income35k_75k",1.06476687036889,0.949819567643618,1.19347539368456
"obese_bmi","income75k+",0.905032091645683,0.775056193662673,1.05608169075945
"obese_wc","(Intercept)",0.714945920007273,0.596679619702452,0.856301961555175
"obese_wc","raceBlack",0.891085134799566,0.78159456905848,1.0161361346248
"obese_wc","raceAsian",0.234862678718915,0.186104013236659,0.294656721231224
"obese_wc","raceHispanic",0.993503958666122,0.864732896411215,1.14191801117226
"obese_wc","sexFemale",3.6126908479712,3.22997524213627,4.04471967684804
"obese_wc","age40_59",1.84451383296932,1.6156158402557,2.10678550055992
"obese_wc","age60+",2.05604883315926,1.79409805003262,2.35735935089595
"obese_wc","smokeSmoker",0.601394769543602,0.536395392890994,0.67406419108831
"obese_wc","eduHighSchool",1.0802149634693,0.934713795546233,1.24844520211417
"obese_wc","eduSomeCollege",1.27338920858028,1.10311608800648,1.47009959864307
"obese_wc","eduCollegePlus",0.824817335415231,0.686200105746536,0.991486594979151
"obese_wc","income35k_75k",1.08250582768686,0.959959220561396,1.22094849729254
"obese_wc","income75k+",0.932313587779466,0.79493942907125,1.09378064047239
"obese_dxa","(Intercept)",0.457351842998369,0.359464572118695,0.580704937830109
"obese_dxa","raceBlack",0.829615684971099,0.686838322296155,1.00065626912896
"obese_dxa","raceAsian",0.575978271338281,0.432979479391293,0.760590801442887
"obese_dxa","raceHispanic",1.30850808160032,1.08812957032135,1.57356690320341
"obese_dxa","sexFemale",1.18165758768355,1.02205500984811,1.36606095739173
"obese_dxa","age40_59",1.43280235148946,1.24220912077757,1.65346487274155
"obese_dxa","smokeSmoker",0.812965349948831,0.699643102368721,0.944685826800608
"obese_dxa","eduHighSchool",1.28395440596819,1.04962311104229,1.5718191084508
"obese_dxa","eduSomeCollege",1.49347192994241,1.22579962266559,1.82169189292722
"obese_dxa","eduCollegePlus",1.07161406473018,0.822780731418986,1.39473316982675
"obese_dxa","income35k_75k",1.01252709178034,0.86217805672635,1.18873463317252
"obese_dxa","income75k+",1.0407028070381,0.840470490612505,1.28781350984344
